CRN,Term,GERs,G,D,W,S,Q,LangA,LangM,Lab,FA,Hum,SS,Div
5625,1 (Fall 2023),"G,D,SS",G,D,,,,,,,,,SS,SS
5633,1 (Fall 2023),"G,SS",G,,,,,,,,,,SS,SS
5043,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5044,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5630,1 (Fall 2023),"W,SS",,,W,,,,,,,,SS,SS
5634,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5693,1 (Fall 2023),"D,SS",,D,,,,,,,,,SS,SS
5626,1 (Fall 2023),"D,SS",,D,,,,,,,,,SS,SS
5628,1 (Fall 2023),"D,SS",,D,,,,,,,,,SS,SS
5631,1 (Fall 2023),"G,D,SS",G,D,,,,,,,,,SS,SS
5620,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5045,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5046,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5047,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5048,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5692,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5049,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5050,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5051,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5052,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5053,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5054,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5055,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5056,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5718,1 (Fall 2024),"G,D,SS",G,D,,,,,,,,,SS,SS
5719,1 (Fall 2024),"G,SS",G,,,,,,,,,,SS,SS
5043,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5044,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5720,1 (Fall 2024),"W,SS",,,W,,,,,,,,SS,SS
5721,1 (Fall 2024),"D,SS",,D,,,,,,,,,SS,SS
5841,1 (Fall 2024),"D,SS",,D,,,,,,,,,SS,SS
5722,1 (Fall 2024),"D,SS",,D,,,,,,,,,SS,SS
5700,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5679,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5045,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5046,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5047,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5048,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5724,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5725,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5049,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5050,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5051,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5052,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5053,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5054,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5055,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5056,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
1621,2 (Winter 2024),"G,D,SS",G,D,,,,,,,,,SS,SS
1041,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1042,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1626,2 (Winter 2024),"Q,SS",,,,,Q,,,,,,SS,SS
1696,2 (Winter 2024),"D,SS",,D,,,,,,,,,SS,SS
1627,2 (Winter 2024),"G,SS",G,,,,,,,,,,SS,SS
1624,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1043,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1044,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1045,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1046,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
