CRN,Term,Dept,Num,Name,APR,Units,PreReqs,Description,IS_DS_TU_IN
5625,1 (Fall 2023),ANTH,110,CULTURAL ANTHROPOLOGY,,6,Freshman or sophomore standing; consent of instructor required for juniors and seniors,"An introduction to the nature of culture, the organization of social relations, and the relationships between values and behavior. Attention to language, kinship, and religion as cultural systems, as well as to forms of social control, stratification and inequality in relation to culture (including gender, race, ethnicity, and class). Social patterns and processes within and across cultures examined through ethnographic cases studies from around the world. PREREQUISITES: Freshman or sophomore standing; consent of instructor required for juniors and seniors",N
5633,1 (Fall 2023),ANTH,120,WORLD PREHISTORY,,6,Freshman or sophomore standing; consent of instructor required for juniors and seniors,"An introduction to the peoples and cultures of the world from 40,000 years ago to 2,000 years ago. Major events in world prehistory, such as the origins of agriculture, the rise of cities, and the spread of states, are examined and discussed. General trends in cultural evolution are proposed and evaluated.  This course may not be taken on a Satisfactory/Unsatisfactory basis. PREREQUISITES: Freshman or sophomore standing; consent of instructor required for juniors and seniors",N
5043,1 (Fall 2023),ANTH,191,DIRECTED STUDY IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5044,1 (Fall 2023),ANTH,195,INTERNSHIP IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Applied work in anthropology arranged and carried out under the direction of an instructor.   The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5630,1 (Fall 2023),ANTH,200,HIST OF ANTHROPOLOGICAL IDEAS,,6,"ANTH 110, 120, or 140, preferably all three. Recommended for anthropology majors in the sophomore year; must be completed by the end of the junior year.","A study of the development of anthropology as a scholarly discipline and a method of inquiry. Consideration of theoretical perspectives such as evolutionism, historical particularism, functionalism, cultural materialism, structuralism, interpretive and postmodernist approaches, and also the significance of participant-observation and other field research strategies in shaping anthropological knowledge. PREREQUISITES: ANTH 110, 120, or 140, preferably all three. Recommended for anthropology majors in the sophomore year; must be completed by the end of the junior year.",N
5634,1 (Fall 2023),ANTH,222,HISTORIC PRESERVATION,,6,,"Historic preservation endeavors to identify and conserve historic objects, properties, and landscapes.  It has become a focal task for many anthropologists today.  This course introduces students to the basic theory of historic preservation, the laws guiding practice, and the techniques used by historic preservation professionals.",N
5693,1 (Fall 2023),ANTH,300,TOP: MIGRATION & HEALTH,,6,"sophomore standing, ANTH 110 or instructor consent","An examination of a particular topic in contemporary anthropology. The specific topic investigated changes each year or term.Topic for Fall 2023: Migration & HealthPREREQUISITES: sophomore standing and either ANTH 110, ANTH 342, ANTH 314, or consent of instructorThis course explores the intersection between migration and the political, economic, and social dimensions of health and well-being among migrants, their families, and their communities. Drawing on a wide range of contemporary ethnographic case studies, we will explore how global and local processes structure the ways migrants are rendered differently vulnerable, while also recognizing how they actively assess and navigate these challenges in their daily lives. While experiences of movement are critical to this course, we will also consider the experiences of those “left behind,” such as the children of migrant parents. Issues to be explored include transnationalism, race, gender, citizenship, structural violence, and health disparities.",N
5626,1 (Fall 2023),ANTH,306,ANTHROPOLOGY OF GENDER,,6,ANTH 110 or GEST 100,"An anthropological approach to the study of gender and a/sexuality, and how they intersect with other dimensions of social difference such as race, class, and ethnicity. Topical, ethnographic approach to examining these intersections. Focus on issues such as sexual behavior, reproduction, parenting, transgender identity, work, communication, and violence. PREREQUISITES: ANTH 110 or GEST 100",N
5628,1 (Fall 2023),ANTH,341,HUMAN VARIATION,,6,"ANTH 140, BIOL 110, or consent of instructor","A survey of human biological variation and adaptation.  Topics include the geographic distribution of human variation; evolutionary approaches to understanding human diversity; historic and modern concepts of race and ethnicity; human biological adaptations to disease, climate, poverty, and other stressors; and the genetics of simple and complex traits. PREREQUISITES: ANTH 140, BIOL 110, or consent of instructor",N
5631,1 (Fall 2023),ANTH,366,ETHNOGRAPHY OF JAPAN,,6,ANTH 110 or sophomore standing,"Critical examination of social and cultural (re)presentations of Japan from the postwar to the postmodern. Exploration of diversities of lived reality and social change in contemporary Japan. Topics include: national cultural identity, historical consciousness, family and gender ideologies, the Heisei recession, invisible and visible others, demographic change, sexuality, pop culture, youth culture, multiculturalism, and recovery from calamity. PREREQUISITES: ANTH 110 or sophomore standing",N
