TermCRN,L,R,WL
FallTerm2023-5625,40,41,0
FallTerm2023-5633,40,36,0
FallTerm2023-5043,,,
FallTerm2023-5044,,,
FallTerm2023-5630,20,9,0
FallTerm2023-5634,,21,
FallTerm2023-5693,,4,
FallTerm2023-5626,25,16,0
FallTerm2023-5628,25,4,0
FallTerm2023-5631,20,2,0
FallTerm2023-5620,,4,
FallTerm2023-5045,,,
FallTerm2023-5046,,,
FallTerm2023-5047,,,
FallTerm2023-5048,,,
FallTerm2023-5692,15,6,0
FallTerm2023-5049,,,
FallTerm2023-5050,,,
FallTerm2023-5051,,,
FallTerm2023-5052,,,
FallTerm2023-5053,,,
FallTerm2023-5054,,,
FallTerm2023-5055,,,
FallTerm2023-5056,,,
FallTerm2024-5718,20,20,0
FallTerm2024-5719,20,11,0
FallTerm2024-5043,,,
FallTerm2024-5044,,,
FallTerm2024-5720,20,8,0
FallTerm2024-5721,,,
FallTerm2024-5841,,9,
FallTerm2024-5722,25,4,0
FallTerm2024-5700,16,11,0
FallTerm2024-5679,,1,
FallTerm2024-5045,,,
FallTerm2024-5046,,,
FallTerm2024-5047,,,
FallTerm2024-5048,,,
FallTerm2024-5724,,7,
FallTerm2024-5725,15,,
FallTerm2024-5049,,,
FallTerm2024-5050,,,
FallTerm2024-5051,,,
FallTerm2024-5052,,,
FallTerm2024-5053,,,
FallTerm2024-5054,,,
FallTerm2024-5055,,,
FallTerm2024-5056,,,
WinterTerm2024-1621,40,40,0
WinterTerm2024-1041,,,
WinterTerm2024-1042,,,
WinterTerm2024-1626,18,3,0
WinterTerm2024-1696,,12,
WinterTerm2024-1627,,6,
WinterTerm2024-1624,20,10,0
WinterTerm2024-1043,,,
WinterTerm2024-1044,,,
WinterTerm2024-1045,,,
WinterTerm2024-1046,,,
WinterTerm2024-1622,15,6,0
WinterTerm2024-1625,15,4,0
WinterTerm2024-1047,,,
WinterTerm2024-1048,,,
WinterTerm2024-1049,,,
WinterTerm2024-1050,,,
WinterTerm2024-1051,,,
WinterTerm2024-1052,,,
WinterTerm2024-1053,,,
WinterTerm2024-1054,,,
WinterTerm2025-1672,20,20,0
WinterTerm2025-2086,20,16,0
WinterTerm2025-1961,17,4,0
WinterTerm2025-1007,,,
WinterTerm2025-1008,,,
WinterTerm2025-1850,18,8,0
WinterTerm2025-1673,,9,
WinterTerm2025-1700,,4,
WinterTerm2025-1674,20,8,0
WinterTerm2025-1009,,,
WinterTerm2025-1010,,,
WinterTerm2025-1011,,,
WinterTerm2025-1012,,,
WinterTerm2025-1676,15,8,0
WinterTerm2025-1677,15,2,0
WinterTerm2025-1013,,,
WinterTerm2025-1014,,,
WinterTerm2025-1015,,,
WinterTerm2025-1016,,,
WinterTerm2025-1017,,,
WinterTerm2025-1018,,,
WinterTerm2025-1019,,,
WinterTerm2025-1020,,,
SpringTerm2024-3633,40,35,0
SpringTerm2024-3631,20,7,0
SpringTerm2024-3632,20,13,0
SpringTerm2024-3017,,,
SpringTerm2024-3018,,,
SpringTerm2024-3625,12,2,0
SpringTerm2024-3634,20,11,0
SpringTerm2024-3615,,11,
SpringTerm2024-3019,,,
SpringTerm2024-3020,,,
SpringTerm2024-3021,,,
SpringTerm2024-3022,,,
SpringTerm2024-3999,6,8,0
SpringTerm2024-3640,,0,0
SpringTerm2024-3664,15,12,0
SpringTerm2024-3023,,,
SpringTerm2024-3024,,,
SpringTerm2024-3025,,,
SpringTerm2024-3026,,,
SpringTerm2024-3027,,,
SpringTerm2024-3028,,,
SpringTerm2024-3029,,,
SpringTerm2024-3030,,,
SpringTerm2025-3680,20,20,0
SpringTerm2025-3945,10,10,1
SpringTerm2025-3009,,,
SpringTerm2025-3010,,,
SpringTerm2025-3681,12,1,0
SpringTerm2025-3842,,11,
SpringTerm2025-3711,25,8,0
SpringTerm2025-3712,20,8,0
SpringTerm2025-3683,20,4,0
SpringTerm2025-3649,,1,
SpringTerm2025-3682,,4,
SpringTerm2025-3011,,,
SpringTerm2025-3012,,,
SpringTerm2025-3013,,,
SpringTerm2025-3014,,,
SpringTerm2025-3736,,0,0
SpringTerm2025-3684,15,3,0
SpringTerm2025-3841,15,4,0
SpringTerm2025-3850,15,2,0
SpringTerm2025-3015,,,
SpringTerm2025-3016,,,
SpringTerm2025-3017,,,
SpringTerm2025-3018,,,
SpringTerm2025-3019,,,
SpringTerm2025-3020,,,
SpringTerm2025-3021,,,
SpringTerm2025-3022,,,
FallTerm2023-5714,35,30,0
FallTerm2023-5057,,,
FallTerm2023-5058,,,
FallTerm2023-5715,35,17,0
FallTerm2023-5997,20,9,0
FallTerm2023-5844,,10,0
FallTerm2023-5804,6,4,0
FallTerm2023-5806,20,18,0
FallTerm2023-5059,,,
FallTerm2023-5060,,,
FallTerm2023-5061,,,
FallTerm2023-5062,,,
FallTerm2023-5802,9,7,0
FallTerm2023-5063,,,
FallTerm2023-5064,,,
FallTerm2023-5065,,,
FallTerm2023-5066,,,
FallTerm2023-5067,,,
FallTerm2023-5068,,,
FallTerm2023-5069,,,
FallTerm2023-5070,,,
FallTerm2024-5737,20,19,1
FallTerm2024-5057,,,
FallTerm2024-5058,,,
FallTerm2024-5738,,6,
FallTerm2024-5959,,16,
FallTerm2024-5739,35,15,0
FallTerm2024-5684,,3,
FallTerm2024-5957,6,3,0
FallTerm2024-5059,,,
FallTerm2024-5060,,,
FallTerm2024-5061,,,
FallTerm2024-5062,,,
FallTerm2024-5956,9,9,0
FallTerm2024-5063,,,
FallTerm2024-5064,,,
FallTerm2024-5065,,,
FallTerm2024-5066,,,
FallTerm2024-5067,,,
FallTerm2024-5068,,,
FallTerm2024-5069,,,
FallTerm2024-5070,,,
WinterTerm2024-1727,35,32,0
WinterTerm2024-1055,,,
WinterTerm2024-1056,,,
WinterTerm2024-2067,,5,
WinterTerm2024-1704,15,12,0
WinterTerm2024-1724,35,19,0
WinterTerm2024-1720,20,21,0
WinterTerm2024-1723,20,15,0
WinterTerm2024-1057,,,
WinterTerm2024-1058,,,
WinterTerm2024-1059,,,
WinterTerm2024-1060,,,
WinterTerm2024-1061,,,
WinterTerm2024-1062,,,
WinterTerm2024-1063,,,
WinterTerm2024-1064,,,
WinterTerm2024-1722,15,8,0
WinterTerm2024-1065,,,
WinterTerm2024-1066,,,
WinterTerm2024-1067,,,
WinterTerm2024-1068,,,
WinterTerm2025-1945,15,14,1
WinterTerm2025-1942,15,13,0
WinterTerm2025-1021,,,
WinterTerm2025-1022,,,
WinterTerm2025-1944,35,7,0
WinterTerm2025-1652,,3,
WinterTerm2025-1947,20,11,0
WinterTerm2025-1023,,,
WinterTerm2025-1024,,,
WinterTerm2025-1025,,,
WinterTerm2025-1026,,,
WinterTerm2025-1027,,,
WinterTerm2025-1028,,,
WinterTerm2025-1029,,,
WinterTerm2025-1030,,,
WinterTerm2025-1946,15,6,0
WinterTerm2025-1031,,,
WinterTerm2025-1032,,,
WinterTerm2025-1033,,,
WinterTerm2025-1034,,,
SpringTerm2024-3750,35,35,0
SpringTerm2024-3748,35,21,0
SpringTerm2024-3031,,,
SpringTerm2024-3032,,,
SpringTerm2024-3746,,8,
SpringTerm2024-3747,35,29,0
SpringTerm2024-4095,,11,0
SpringTerm2024-4092,,14,
SpringTerm2024-3033,,,
SpringTerm2024-3034,,,
SpringTerm2024-3035,,,
SpringTerm2024-3036,,,
SpringTerm2024-3037,,,
SpringTerm2024-3038,,,
SpringTerm2024-3039,,,
SpringTerm2024-3040,,,
SpringTerm2024-3041,,,
SpringTerm2024-3042,,,
SpringTerm2024-3043,,,
SpringTerm2024-3044,,,
SpringTerm2025-3941,15,15,2
SpringTerm2025-3023,,,
SpringTerm2025-3024,,,
SpringTerm2025-4095,35,27,0
SpringTerm2025-3940,35,14,0
SpringTerm2025-3944,6,4,0
SpringTerm2025-3025,,,
SpringTerm2025-3026,,,
SpringTerm2025-3027,,,
SpringTerm2025-3028,,,
SpringTerm2025-3942,9,4,0
SpringTerm2025-3029,,,
SpringTerm2025-3030,,,
SpringTerm2025-3031,,,
SpringTerm2025-3032,,,
SpringTerm2025-3033,,,
SpringTerm2025-3034,,,
SpringTerm2025-3035,,,
SpringTerm2025-3036,,,
FallTerm2023-5818,20,17,0
FallTerm2023-5819,15,15,0
FallTerm2023-5820,15,17,0
FallTerm2023-5071,,,
FallTerm2023-5072,,,
FallTerm2023-5815,15,14,0
FallTerm2023-5813,12,12,0
FallTerm2023-5814,,7,
FallTerm2023-5811,10,11,0
FallTerm2023-5809,14,13,0
FallTerm2023-5817,10,10,0
FallTerm2023-6075,10,8,0
FallTerm2023-5073,,,
FallTerm2023-5074,,,
FallTerm2023-5075,,,
FallTerm2023-5076,,,
FallTerm2023-5077,,,
FallTerm2023-5078,,,
FallTerm2023-5079,,,
FallTerm2023-5080,,,
FallTerm2023-5816,,8,
FallTerm2023-5081,,,
FallTerm2023-5082,,,
FallTerm2023-5083,,,
FallTerm2023-5084,,,
FallTerm2024-5807,13,12,2
FallTerm2024-5801,10,10,4
FallTerm2024-5071,,,
FallTerm2024-5072,,,
FallTerm2024-5800,15,14,0
FallTerm2024-5805,12,12,0
FallTerm2024-5804,12,10,0
FallTerm2024-5806,10,10,1
FallTerm2024-5803,15,13,0
FallTerm2024-5933,10,10,1
FallTerm2024-5931,12,9,0
FallTerm2024-5073,,,
FallTerm2024-5074,,,
FallTerm2024-5075,,,
FallTerm2024-5076,,,
FallTerm2024-5077,,,
FallTerm2024-5078,,,
FallTerm2024-5079,,,
FallTerm2024-5080,,,
FallTerm2024-5802,,13,
FallTerm2024-5081,,,
FallTerm2024-5082,,,
FallTerm2024-5083,,,
FallTerm2024-5084,,,
WinterTerm2024-1839,20,21,0
WinterTerm2024-1834,15,15,0
WinterTerm2024-1069,,,
WinterTerm2024-1070,,,
WinterTerm2024-1831,15,15,0
WinterTerm2024-1829,11,12,0
WinterTerm2024-1840,15,16,0
WinterTerm2024-1827,10,10,0
WinterTerm2024-2083,15,10,0
WinterTerm2024-1832,10,4,0
WinterTerm2024-1837,6,6,0
WinterTerm2024-1071,,,
WinterTerm2024-1072,,,
WinterTerm2024-1073,,,
WinterTerm2024-1074,,,
WinterTerm2024-1828,5,2,0
WinterTerm2024-1825,,1,
WinterTerm2024-1833,5,2,0
WinterTerm2024-1838,4,,
WinterTerm2024-1075,,,
WinterTerm2024-1076,,,
WinterTerm2024-1077,,,
WinterTerm2024-1078,,,
WinterTerm2024-1826,,8,
WinterTerm2024-1079,,,
WinterTerm2024-1080,,,
WinterTerm2024-1081,,,
WinterTerm2024-1082,,,
WinterTerm2025-1970,10,9,7
WinterTerm2025-1951,10,10,1
WinterTerm2025-1035,,,
WinterTerm2025-1036,,,
WinterTerm2025-1768,15,15,0
WinterTerm2025-1915,10,10,1
WinterTerm2025-1954,10,10,1
WinterTerm2025-1949,14,7,0
WinterTerm2025-1766,10,9,0
WinterTerm2025-1956,10,4,0
WinterTerm2025-1972,6,6,0
WinterTerm2025-1952,10,4,0
WinterTerm2025-1037,,,
WinterTerm2025-1038,,,
WinterTerm2025-1039,,,
WinterTerm2025-1040,,,
WinterTerm2025-1767,5,5,1
WinterTerm2025-1958,,,
WinterTerm2025-1957,5,1,0
WinterTerm2025-1973,4,1,0
WinterTerm2025-1953,5,2,0
WinterTerm2025-1041,,,
WinterTerm2025-1042,,,
WinterTerm2025-1043,,,
WinterTerm2025-1044,,,
WinterTerm2025-1959,,2,
WinterTerm2025-1045,,,
WinterTerm2025-1046,,,
WinterTerm2025-1047,,,
WinterTerm2025-1048,,,
SpringTerm2024-3853,20,20,0
SpringTerm2024-3848,15,15,0
SpringTerm2024-3045,,,
SpringTerm2024-3046,,,
SpringTerm2024-4010,12,17,0
SpringTerm2024-3854,10,7,0
SpringTerm2024-3849,10,9,0
SpringTerm2024-3844,6,4,0
SpringTerm2024-3840,9,7,0
SpringTerm2024-3851,10,5,0
SpringTerm2024-4100,12,9,0
SpringTerm2024-3047,,,
SpringTerm2024-3048,,,
SpringTerm2024-3049,,,
SpringTerm2024-3050,,,
SpringTerm2024-3895,10,8,0
SpringTerm2024-3850,5,5,0
SpringTerm2024-3846,4,3,0
SpringTerm2024-3842,5,3,0
SpringTerm2024-3852,5,6,0
SpringTerm2024-3051,,,
SpringTerm2024-3052,,,
SpringTerm2024-3053,,,
SpringTerm2024-3054,,,
SpringTerm2024-3055,,,
SpringTerm2024-3056,,,
SpringTerm2024-3057,,,
SpringTerm2024-3058,,,
SpringTerm2025-3963,13,13,8
SpringTerm2025-4096,10,10,4
SpringTerm2025-3954,10,10,0
SpringTerm2025-3037,,,
SpringTerm2025-3038,,,
SpringTerm2025-3964,10,7,0
SpringTerm2025-3955,10,7,0
SpringTerm2025-3918,10,10,1
SpringTerm2025-3961,10,2,0
SpringTerm2025-3957,6,4,0
SpringTerm2025-3950,9,2,0
SpringTerm2025-3039,,,
SpringTerm2025-3040,,,
SpringTerm2025-3041,,,
SpringTerm2025-3042,,,
SpringTerm2025-3956,5,3,0
SpringTerm2025-3962,5,3,0
SpringTerm2025-3959,4,0,0
SpringTerm2025-3952,5,1,0
SpringTerm2025-3752,,2,0
SpringTerm2025-3043,,,
SpringTerm2025-3044,,,
SpringTerm2025-3045,,,
SpringTerm2025-3046,,,
SpringTerm2025-3047,,,
SpringTerm2025-3048,,,
SpringTerm2025-3049,,,
SpringTerm2025-3050,,,
FallTerm2024-5740,12,9,0
FallTerm2023-5833,25,25,0
FallTerm2023-5085,,,
FallTerm2023-5086,,,
FallTerm2023-5087,,,
FallTerm2023-5088,,,
FallTerm2023-5089,,,
FallTerm2023-5090,,,
FallTerm2023-5091,,,
FallTerm2023-5092,,,
FallTerm2023-5093,,,
FallTerm2023-5094,,,
FallTerm2024-5085,,,
FallTerm2024-5042,40,30,0
FallTerm2024-5086,,,
FallTerm2024-5087,,,
FallTerm2024-5088,,,
FallTerm2024-5089,,,
FallTerm2024-5090,,,
FallTerm2024-5091,,,
FallTerm2024-5092,,,
FallTerm2024-5093,,,
FallTerm2024-5094,,,
WinterTerm2024-1842,25,12,0
WinterTerm2024-1083,,,
WinterTerm2024-1036,40,38,0
WinterTerm2024-1084,,,
WinterTerm2024-1085,,,
WinterTerm2024-1086,,,
WinterTerm2024-1087,,,
WinterTerm2024-1088,,,
WinterTerm2024-1089,,,
WinterTerm2024-1090,,,
WinterTerm2024-1091,,,
WinterTerm2024-1092,,,
WinterTerm2025-1692,15,6,0
WinterTerm2025-1049,,,
WinterTerm2025-1050,,,
WinterTerm2025-1051,,,
WinterTerm2025-1052,,,
WinterTerm2025-1053,,,
WinterTerm2025-1054,,,
WinterTerm2025-1055,,,
WinterTerm2025-1056,,,
WinterTerm2025-1057,,,
WinterTerm2025-1058,,,
SpringTerm2024-3059,,,
SpringTerm2024-3060,,,
SpringTerm2024-3061,,,
SpringTerm2024-3062,,,
SpringTerm2024-3063,,,
SpringTerm2024-3064,,,
SpringTerm2024-3065,,,
SpringTerm2024-3066,,,
SpringTerm2024-3067,,,
SpringTerm2024-3068,,,
SpringTerm2025-3051,,,
SpringTerm2025-3052,,,
SpringTerm2025-3053,,,
SpringTerm2025-3054,,,
SpringTerm2025-3055,,,
SpringTerm2025-3056,,,
SpringTerm2025-3057,,,
SpringTerm2025-3058,,,
SpringTerm2025-3059,,,
SpringTerm2025-3060,,,
FallTerm2023-5663,48,49,0
FallTerm2023-5677,15,15,0
FallTerm2023-5998,15,11,0
FallTerm2023-5999,15,16,0
FallTerm2023-5670,48,48,0
FallTerm2023-5095,,,
FallTerm2023-5729,24,24,0
FallTerm2023-5730,24,13,0
FallTerm2023-5676,24,10,0
FallTerm2023-5666,24,23,0
FallTerm2023-5669,,14,
FallTerm2023-5657,24,29,0
FallTerm2023-6034,18,12,0
FallTerm2023-5096,,,
FallTerm2023-5097,,,
FallTerm2023-5098,,,
FallTerm2023-5586,32,39,0
FallTerm2023-6022,,21,
FallTerm2023-5099,,,
FallTerm2023-5100,,,
FallTerm2023-5101,,,
FallTerm2023-5733,,47,
FallTerm2023-5102,,,
FallTerm2023-5103,,,
FallTerm2023-5104,,,
FallTerm2024-5708,8,6,0
FallTerm2024-5709,8,8,0
FallTerm2024-5758,15,2,0
FallTerm2024-6102,15,1,0
FallTerm2024-6103,15,,
FallTerm2024-5702,12,12,0
FallTerm2024-5703,12,7,0
FallTerm2024-5095,,,
FallTerm2024-5695,24,9,0
FallTerm2024-5696,24,14,0
FallTerm2024-5694,,6,
FallTerm2024-5692,12,12,0
FallTerm2024-5693,12,6,0
FallTerm2024-5686,12,12,0
FallTerm2024-5687,12,12,1
FallTerm2024-5880,15,15,7
FallTerm2024-5096,,,
FallTerm2024-5097,,,
FallTerm2024-5098,,,
FallTerm2024-6100,,10,0
FallTerm2024-5784,16,16,1
FallTerm2024-5785,16,7,0
FallTerm2024-5756,,30,
FallTerm2024-5099,,,
FallTerm2024-5100,,,
FallTerm2024-5101,,,
FallTerm2024-5757,,37,
FallTerm2024-5102,,,
FallTerm2024-5103,,,
FallTerm2024-5104,,,
WinterTerm2024-1743,48,38,0
WinterTerm2024-2010,15,13,0
WinterTerm2024-2049,15,8,0
WinterTerm2024-2050,15,10,0
WinterTerm2024-1665,44,41,0
WinterTerm2024-1093,,,
WinterTerm2024-1669,32,22,0
WinterTerm2024-1649,60,58,0
WinterTerm2024-1659,24,23,0
WinterTerm2024-1653,15,15,0
WinterTerm2024-2092,15,15,0
WinterTerm2024-1668,15,17,0
WinterTerm2024-1094,,,
WinterTerm2024-1095,,,
WinterTerm2024-1096,,,
WinterTerm2024-1619,24,17,0
WinterTerm2024-1097,,,
WinterTerm2024-1098,,,
WinterTerm2024-1099,,,
WinterTerm2024-1662,,48,
WinterTerm2024-1100,,,
WinterTerm2024-1101,,,
WinterTerm2024-1102,,,
WinterTerm2025-1714,9,,
WinterTerm2025-1715,9,2,0
WinterTerm2025-1968,15,,
WinterTerm2025-2118,15,,
WinterTerm2025-2119,15,,
WinterTerm2025-1663,22,11,0
WinterTerm2025-1664,22,3,0
WinterTerm2025-1059,,,
WinterTerm2025-2120,18,17,7
WinterTerm2025-1660,12,10,0
WinterTerm2025-1661,12,6,0
WinterTerm2025-1815,10,10,1
WinterTerm2025-1770,20,20,1
WinterTerm2025-1771,20,20,0
WinterTerm2025-2123,20,11,0
WinterTerm2025-1702,15,11,0
WinterTerm2025-1722,15,6,0
WinterTerm2025-1060,,,
WinterTerm2025-1061,,,
WinterTerm2025-1062,,,
WinterTerm2025-1740,20,14,0
WinterTerm2025-1966,28,28,3
WinterTerm2025-1063,,,
WinterTerm2025-1064,,,
WinterTerm2025-1065,,,
WinterTerm2025-1658,,43,
WinterTerm2025-1066,,,
WinterTerm2025-1067,,,
WinterTerm2025-1068,,,
SpringTerm2024-3689,24,22,0
SpringTerm2024-3690,24,24,0
SpringTerm2024-3695,22,20,0
SpringTerm2024-3696,22,10,0
SpringTerm2024-3069,,,
SpringTerm2024-3698,24,11,0
SpringTerm2024-3699,8,9,0
SpringTerm2024-4018,16,11,0
SpringTerm2024-3680,25,21,0
SpringTerm2024-3701,10,10,0
SpringTerm2024-3702,10,9,0
SpringTerm2024-3683,20,17,0
SpringTerm2024-3684,20,13,0
SpringTerm2024-3070,,,
SpringTerm2024-3071,,,
SpringTerm2024-3072,,,
SpringTerm2024-3675,,14,0
SpringTerm2024-3612,16,8,0
SpringTerm2024-3613,16,9,0
SpringTerm2024-3686,6,8,0
SpringTerm2024-3687,6,,
SpringTerm2024-3677,,14,0
SpringTerm2024-3073,,,
SpringTerm2024-3074,,,
