CRN,Term,Time,"Times 2nd (lab, etc)",Instructors,Course Link,meeting_details
5625,1 (Fall 2023),08:30 AM-09:40 AM MWF,,C. Daughtry,term_in=202350&crn_in=5625&subj_code_in=ANTH&crse_numb_in=110,08:30 AM-09:40 AM MWF     STEI 102
5633,1 (Fall 2023),08:30 AM-09:40 AM MWF,,P. Peregrine,term_in=202350&crn_in=5633&subj_code_in=ANTH&crse_numb_in=120,08:30 AM-09:40 AM MWF     BRIG 326
5043,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5043&subj_code_in=ANTH&crse_numb_in=191,Arranged
5044,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5044&subj_code_in=ANTH&crse_numb_in=195,Arranged
5630,1 (Fall 2023),11:10 AM-12:20 PM MWF,,"C. Daughtry
B. Jenike",term_in=202350&crn_in=5630&subj_code_in=ANTH&crse_numb_in=200,11:10 AM-12:20 PM MWF     BRIG 326
5634,1 (Fall 2023),09:50 AM-11:00 AM MWF,,P. Peregrine,term_in=202350&crn_in=5634&subj_code_in=ANTH&crse_numb_in=222,09:50 AM-11:00 AM MWF     BRIG 326
5693,1 (Fall 2023),02:35 PM-04:20 PM TR,,K. Rocker,term_in=202350&crn_in=5693&subj_code_in=ANTH&crse_numb_in=300,02:35 PM-04:20 PM TR      BRIG 305
5626,1 (Fall 2023),08:30 AM-10:15 AM TR,,C. Daughtry,term_in=202350&crn_in=5626&subj_code_in=ANTH&crse_numb_in=306,08:30 AM-10:15 AM TR      BRIG 305
5628,1 (Fall 2023),01:50 PM-03:00 PM MWF,,D. Proctor,term_in=202350&crn_in=5628&subj_code_in=ANTH&crse_numb_in=341,01:50 PM-03:00 PM MWF     BRIG 326
5631,1 (Fall 2023),12:40 PM-02:25 PM TR,,"B. Vance
B. Jenike",term_in=202350&crn_in=5631&subj_code_in=ANTH&crse_numb_in=366,12:40 PM-02:25 PM TR      BRIG 305
5620,1 (Fall 2023),,,N. James,term_in=202350&crn_in=5620&subj_code_in=ANTH&crse_numb_in=372,Arranged
5045,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5045&subj_code_in=ANTH&crse_numb_in=390,Arranged
5046,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5046&subj_code_in=ANTH&crse_numb_in=391,Arranged
5047,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5047&subj_code_in=ANTH&crse_numb_in=395,Arranged
5048,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5048&subj_code_in=ANTH&crse_numb_in=399,Arranged
5692,1 (Fall 2023),10:25 AM-12:10 PM TR,,K. Rocker,term_in=202350&crn_in=5692&subj_code_in=ANTH&crse_numb_in=500,10:25 AM-12:10 PM TR      BRIG 305
5049,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5049&subj_code_in=ANTH&crse_numb_in=590,Arranged
5050,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5050&subj_code_in=ANTH&crse_numb_in=591,Arranged
5051,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5051&subj_code_in=ANTH&crse_numb_in=595,Arranged
5052,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5052&subj_code_in=ANTH&crse_numb_in=599,Arranged
5053,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5053&subj_code_in=ANTH&crse_numb_in=690,Arranged
5054,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5054&subj_code_in=ANTH&crse_numb_in=691,Arranged
5055,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5055&subj_code_in=ANTH&crse_numb_in=695,Arranged
