GEOID10_Tract,Tract Pop,geo_pr_white,geo_pr_black,geo_pr_aian,geo_pr_api,geo_pr_mult,geo_pr_hispanic,here,here_given_white,here_given_black,here_given_aian,here_given_api,here_given_mult,here_given_hispanic
55001950100,2585,0.982591876,0.001160542,0.003481625,0.004642166,0.00270793,0.005415861,0.000594595,0.000676211,1.27649E-05,0.000260994,0.000134606,0.000213454,7.00624E-05
55001950201,1164,0.975945017,0.00257732,0.004295533,0.000859107,0.003436426,0.012886598,0.00026774,0.000302431,1.27649E-05,0.000144997,1.12172E-05,0.000121974,7.50668E-05
55001950202,2295,0.961220044,0.003050109,0.003485839,0.006535948,0.006100218,0.019607843,0.00052789,0.000587292,2.97847E-05,0.000231994,0.000168258,0.000426908,0.0002252
55001950400,3764,0.952178533,0.009564293,0.005579171,0.004516472,0.00717322,0.02098831,0.000865786,0.000954149,0.000153178,0.000608985,0.000190692,0.000823323,0.000395352
55001950501,1237,0.975747777,0.00323363,0.001616815,0.001616815,0.00323363,0.014551334,0.000284532,0.000321333,1.70198E-05,5.79986E-05,2.24344E-05,0.000121974,9.00802E-05
55001950502,3551,0.713544577,0.145920288,0.020845755,0.006760786,0.008450982,0.104477612,0.000816792,0.000674559,0.00220476,0.002146623,0.000269298,0.000915092,0.001856652
55001950700,2858,0.957312806,0.006298111,0.010496851,0.001049685,0.008747376,0.016095171,0.00065739,0.000728391,7.65892E-05,0.000869979,3.36516E-05,0.000762336,0.000230205
55003940000,1277,0.366483947,0.001566171,0.566953798,0.000783085,0.032889585,0.031323414,0.000293732,0.000124593,8.50991E-06,0.020995495,1.12172E-05,0.001280725,0.000200178
55003950300,2198,0.909918107,0.003639672,0.035031847,0.008644222,0.023657871,0.01910828,0.000505579,0.000532449,3.40396E-05,0.002232946,0.000213127,0.00158566,0.000210187
55003950400,1920,0.886351637,0.0031283,0.072993664,0.004171067,0.020855333,0.0125,0.000441634,0.00045306,2.55567E-05,0.004064189,8.98324E-05,0.001221026,0.000120107
55003950500,1535,0.953745928,0.000651466,0.016938111,0.004560261,0.020846906,0.003257329,0.000353077,0.000389753,4.25496E-06,0.000753982,7.85204E-05,0.000975791,2.50223E-05
55003950600,1132,0.969964664,0,0.00795053,0.001766784,0.008833922,0.011484099,0.00026038,0.000292315,0,0.000260994,2.24344E-05,0.000304935,6.50579E-05
55003950700,1740,0.979310345,0.000574713,0.007471264,0.000574713,0.008045977,0.004022989,0.000400231,0.000453647,4.25496E-06,0.000376991,1.12172E-05,0.000426908,3.50312E-05
55003950800,2611,0.876505185,0.0042195,0.06904636,0.002301545,0.034139589,0.013787821,0.000600576,0.00060927,4.68773E-05,0.005227996,6.74079E-05,0.00271814,0.00018016
55003990000,0,,,,,,,0,0,0,0,0,0,0
55005000100,3075,0.980813008,0.002276423,0.002926829,0.001300813,0.006178862,0.006504065,0.000707304,0.000802934,2.97847E-05,0.000260994,4.48688E-05,0.000579376,0.000100089
55005000200,3118,0.946760744,0.001282874,0.030788967,0,0.005772931,0.015394484,0.000717195,0.000785895,1.70198E-05,0.002783933,0,0.000548882,0.000240214
55005000300,3280,0.964939024,0.000609756,0.01554878,0.00304878,0.006097561,0.009756098,0.000754458,0.000842601,8.50991E-06,0.001478964,0.000112172,0.000609869,0.000160143
55005000400,4219,0.899976298,0.052382081,0.006873667,0.005214506,0.009006874,0.026546575,0.000970444,0.001010855,0.000940345,0.00084098,0.000246778,0.001158751,0.000560499
55005000500,3279,0.966148216,0.003659652,0.006709363,0.006404392,0.00579445,0.011283928,0.000754228,0.0008434,5.10595E-05,0.000637985,0.000235561,0.000579376,0.000185165
55005000600,4950,0.956763335,0.001818558,0.007072168,0.006465982,0.005657735,0.022222222,0.001138587,0.001260834,3.83025E-05,0.001015185,0.000359025,0.000853993,0.00055049
55005000800,4077,0.973015902,0.002208054,0.002208054,0.005642805,0.00392543,0.012999755,0.000937782,0.00105611,3.83041E-05,0.000261059,0.00025806,0.000488017,0.000265236
55005000900,3835,0.974442042,0.000782475,0.003912374,0.005998974,0.003912374,0.01095176,0.000882117,0.000994878,1.27682E-05,0.000435104,0.000258064,0.000457522,0.000210187
55005001001,1430,0.988811189,0.000699301,0.002097902,0.002097902,0.003496503,0.002797203,0.000328925,0.000376442,4.25496E-06,8.69979E-05,3.36516E-05,0.000152467,2.00178E-05
55005001002,4457,0.983396904,0.001121831,0.002019295,0.002019295,0.003365492,0.008077182,0.001025188,0.001166863,2.12748E-05,0.000260994,0.000100955,0.000457402,0.00018016
55007960100,2137,0.592231746,0.000936335,0.361425224,0.002340837,0.031367215,0.011698643,0.000491548,0.000336934,8.51394E-06,0.022398066,5.61126E-05,0.00204403,0.000125111
55007960200,1383,0.966662917,0,0.010877677,0.001450357,0.013778391,0.007230658,0.000318114,0.000355914,0,0.000436261,2.25E-05,0.000581069,5.00445E-05
55007960300,2937,0.914198161,0.003404835,0.039155601,0.003064351,0.028260129,0.011916922,0.000675562,0.000714813,4.25496E-05,0.00333492,0.000100955,0.002530957,0.000175156
55007960400,3921,0.960961438,0.002551677,0.016585898,0.00331718,0.012503216,0.004080592,0.000901899,0.001003116,4.25714E-05,0.001885921,0.000145898,0.001494945,8.00713E-05
55007960600,1783,0.989904655,0,0.001121705,0.00224341,0.003925967,0.002804262,0.000410121,0.000469887,0,5.79986E-05,4.48688E-05,0.000213454,2.50223E-05
55007990000,0,,,,,,,0,0,0,0,0,0,0
55009000100,1875,0.7152,0.051733333,0.049066667,0.079466667,0.019733333,0.0848,0.000431283,0.000357007,0.000412731,0.002667936,0.001671363,0.001128258,0.000795708
55009000200,4575,0.877377049,0.030163934,0.021202186,0.02557377,0.013114754,0.032568306,0.00105233,0.001068626,0.000587184,0.002812932,0.001312412,0.001829607,0.000745664
55009000302,3610,0.820423258,0.038803803,0.037972293,0.039358143,0.013026991,0.050415512,0.000830363,0.000788485,0.000596042,0.003975224,0.001593772,0.001434029,0.000910811
55009000303,2200,0.835,0.04,0.047272727,0.038181818,0.013636364,0.025909091,0.000506039,0.000489055,0.000374436,0.003015927,0.000942245,0.000914804,0.000285254
55009000401,3739,0.803423375,0.028884729,0.043861995,0.046803958,0.012837657,0.064188286,0.000860036,0.000799739,0.000459535,0.004755886,0.00196301,0.001463686,0.001201069
55009000402,1853,0.935240151,0.003777658,0.016189962,0.016189962,0.003777658,0.024824609,0.000426223,0.000461367,2.97847E-05,0.000869979,0.000336516,0.000213454,0.000230205
55009000500,2117,0.779719252,0.048230057,0.052012806,0.038300339,0.01796806,0.063769485,0.000486947,0.000439448,0.000434444,0.003193145,0.000909511,0.001159922,0.000675601
55009000600,3210,0.918380062,0.009345794,0.012149533,0.027725857,0.008411215,0.023987539,0.000738356,0.00078483,0.000127649,0.001130973,0.000998331,0.000823323,0.000385343
55009000700,3721,0.829695933,0.023151801,0.040381048,0.033381666,0.012921935,0.060467616,0.000855895,0.000821915,0.000366555,0.004357374,0.001393324,0.001466202,0.001126002
55009000800,1300,0.607455466,0.086999325,0.074680837,0.081609987,0.026946694,0.122307692,0.000299023,0.000210236,0.000481232,0.0028154,0.001190066,0.001068207,0.000795708
55009000900,2733,0.550186823,0.032234647,0.036263978,0.030403133,0.013553204,0.337358214,0.000628638,0.000400312,0.00037485,0.002874105,0.000932057,0.001129505,0.004614107
55009001000,1373,0.79206961,0.068621699,0.054751356,0.010950271,0.019710488,0.053896577,0.000315814,0.000289522,0.000400892,0.002179982,0.000168647,0.000825229,0.00037033
55009001100,1401,0.593147752,0.04496788,0.039257673,0.067094932,0.012847966,0.242683797,0.000322255,0.000221233,0.000268062,0.001594962,0.001054417,0.000548882,0.001701514
55009001200,1577,0.568077108,0.089060241,0.066159036,0.042621687,0.029262651,0.204819277,0.000362738,0.000238499,0.0005976,0.003025578,0.000753957,0.001407188,0.001616439
55009001300,2239,0.823536662,0.025917052,0.02815128,0.025917052,0.012958526,0.083519428,0.000515009,0.000490891,0.000246908,0.001827847,0.000650915,0.000884741,0.000935833
55009001400,2811,0.764852366,0.025257915,0.028103878,0.034151547,0.011739594,0.135894699,0.000646579,0.000572383,0.000302102,0.002290945,0.001076851,0.001006284,0.001911701
55009001600,4566,0.603589184,0.037957444,0.025451234,0.051121876,0.007898659,0.273981603,0.00105026,0.000733712,0.000737442,0.003370019,0.002618347,0.001099755,0.006260572
55009001701,2536,0.603107274,0.026479808,0.018970609,0.037545997,0.007113978,0.306782334,0.000583325,0.000407185,0.000285732,0.001395141,0.001068064,0.000550134,0.003893465
55009001702,2732,0.664224779,0.038489846,0.019794778,0.015029369,0.010997099,0.251464129,0.000628408,0.000483108,0.000447427,0.001568263,0.000460581,0.000916148,0.00343806
55009001801,3953,0.842398179,0.038198836,0.023779408,0.021755629,0.00935998,0.064507969,0.000909259,0.000886528,0.000642498,0.002725934,0.000964679,0.001128258,0.001276136
55009001802,4307,0.939127299,0.007901591,0.003950795,0.02556397,0.006507192,0.016949153,0.000990686,0.001076831,0.000144805,0.000493454,0.001235059,0.000854624,0.000365325
55009002001,6325,0.851067194,0.01486166,0.009011858,0.030355731,0.006166008,0.088537549,0.001454861,0.001433088,0.000399966,0.00165296,0.002153703,0.001189245,0.002802494
55009002002,3845,0.84911256,0.01040898,0.007546511,0.048661982,0.008327184,0.075942783,0.000884418,0.00086918,0.000170294,0.000841453,0.002098798,0.00097634,0.001461301
55009002003,2373,0.912700625,0.00759529,0.002531763,0.038398408,0.003375684,0.03539823,0.000545832,0.0005766,7.66897E-05,0.000174224,0.001022105,0.000244268,0.000420374
55009010100,4609,0.967016097,0.005208345,0.00542536,0.006510432,0.00542536,0.010414407,0.001060151,0.001186557,0.000102141,0.000725142,0.00033659,0.000762504,0.000240214
55009010201,3971,0.924200453,0.01183581,0.010576681,0.020146059,0.009065727,0.024175271,0.0009134,0.000977045,0.000199983,0.001217971,0.000897376,0.001097764,0.000480428
55009010202,3773,0.944871455,0.006626027,0.011131725,0.017757752,0.009011397,0.010601643,0.000867856,0.000949091,0.000106374,0.001217971,0.000751552,0.001036778,0.000200178
55009010300,5070,0.948119571,0.007102019,0.009469359,0.011244864,0.005326514,0.018737673,0.001166189,0.001279733,0.000153209,0.001392246,0.000639509,0.000823489,0.000475423
55009020100,4353,0.977020733,0.000919333,0.003907164,0.005286163,0.004136997,0.008729612,0.001001266,0.001132246,1.70277E-05,0.000493217,0.000258115,0.000549137,0.000190169
55009020203,4609,0.979168199,0.0015191,0.004557299,0.004991327,0.002604171,0.007159905,0.001060151,0.001201468,2.97912E-05,0.000609118,0.000258052,0.000366001,0.000165147
55009020204,3613,0.977304179,0.001107113,0.004982009,0.005258788,0.004151675,0.007196236,0.000831053,0.000940039,1.70198E-05,0.000521987,0.000213127,0.000457402,0.000130116
55009020502,4031,0.895807492,0.030761598,0.015628876,0.020590424,0.008434632,0.028776978,0.000927201,0.000961337,0.000527614,0.001826956,0.000931028,0.001036778,0.000580517
55009020503,5660,0.965185822,0.003004607,0.010251012,0.005832472,0.004772023,0.010954064,0.001301899,0.001454373,7.23601E-05,0.001682561,0.0003703,0.000823618,0.000310276
55009020504,3065,0.97096248,0.001631321,0.006199021,0.008482871,0.003588907,0.0091354,0.000705004,0.000792285,2.12748E-05,0.000550987,0.000291647,0.000335428,0.000140125
55009020600,3872,0.979080579,0.002066116,0.001807851,0.004907025,0.004390496,0.007747934,0.000890628,0.001009258,3.40396E-05,0.000202995,0.000213127,0.000518389,0.000150134
55009020702,4017,0.958916684,0.008217152,0.003735069,0.016434303,0.002988055,0.009708738,0.000923981,0.001025489,0.000140449,0.000435099,0.000740521,0.000366014,0.000195174
55009020703,5032,0.936208267,0.004570747,0.00536566,0.026232114,0.00536566,0.022257552,0.001157448,0.001254185,9.7864E-05,0.000782981,0.001480671,0.000823323,0.000560499
55009020704,5864,0.833709178,0.009041659,0.005629712,0.037019622,0.005970907,0.108628922,0.001348823,0.001301538,0.000225599,0.000957343,0.002435064,0.00106768,0.003187837
55009020800,1801,0.932815103,0.00388673,0.008328706,0.021099389,0.004997224,0.028872848,0.000414262,0.000447257,2.97847E-05,0.00043499,0.000426254,0.000274441,0.000260232
55009020900,2141,0.941616067,0.006071929,0.008407286,0.01914993,0.008407286,0.016347501,0.000492468,0.000536709,5.53144E-05,0.000521987,0.000459905,0.000548882,0.000175156
55009021000,2156,0.951762523,0.006957328,0.004638219,0.019016698,0.004174397,0.013450835,0.000495918,0.000546293,6.38243E-05,0.000289993,0.000459905,0.000274441,0.000145129
55009021100,1089,0.415977961,0.523415978,0.037649219,0.011019284,0.001836547,0.01010101,0.000250489,0.0001206,0.002425325,0.001188971,0.000134606,6.09869E-05,5.5049E-05
55009021200,3922,0.94645589,0.007139215,0.006629271,0.01300357,0.006374299,0.020397756,0.000902129,0.000988226,0.000119139,0.000753982,0.000572077,0.000762336,0.000400356
55009021301,2617,0.936186473,0.006113871,0.018723729,0.015666794,0.006878105,0.016431028,0.000601956,0.00065225,6.80793E-05,0.001420966,0.000459905,0.000548882,0.000215192
55009021302,4753,0.93517854,0.004841122,0.020837874,0.01704917,0.004630639,0.017462655,0.001093274,0.001183343,9.79059E-05,0.002872161,0.000908983,0.000671144,0.00041537
55009021303,3182,0.865987701,0.021397952,0.020139249,0.050977474,0.011013652,0.030483972,0.000731916,0.000733602,0.000289713,0.001858365,0.001819546,0.001068657,0.000485432
